PD;qn01;Unit_qn01;qn02;Unit_qn02;qn03;Unit_qn03;qn04;Unit_qn04;qn05;Unit_qn05;qn06;Unit_qn06;qn07;qn08;qn09;qn10
0.003583;6225.12;MLN;4284.192;MLN;126376.712;MLN;30689.472;MLN;122190.024;MLN;94179.624;MLN;28.952;15.752;10.824;0.528
0.118950;197.7485048;MLN;145.7245504;MLN;4211.640796;MLN;759.1856448;MLN;5881.389325;MLN;3792.383302;MLN;N/A;15.9544;15.5584;0.15312
0.000450;17473.98248;MLN;13244.32626;MLN;731043.2892;MLN;426728.5726;MLN;1032721.156;MLN;644244.853;MLN;11.82104;13.7368;10.8504;0.35024
0.000517;8730.92;MLN;4123.504;MLN;259777.32;MLN;60425.024;MLN;213967.248;MLN;112244.8976;MLN;78.8304;16.016;N/A;0.308
0.000883;4860.670566;MLN;883.384656;MLN;95616.91236;MLN;10989.72581;MLN;95540.51676;MLN;76969.03453;MLN;41.47792;14.344;N/A;1.94568
0.001850;2950.952391;MLN;1100.061477;MLN;49036.72747;MLN;13063.79648;MLN;53985.55865;MLN;43678.6922;MLN;32.29688;13.5872;10.4104;0.8096
0.307350;224.4;MLN;49.28;MLN;2181.52;MLN;96.8;MLN;652.08;MLN;1760;MLN;0.3696;4.136;3.784;-11.352
0.032750;186.56;MLN;1.76;MLN;3365.12;MLN;14.96;MLN;1882.32;MLN;N/A;MLN;400.4;16.8256;14.564;0.88
0.012550;10989.44;THD;5023.92;THD;150912.96;THD;10197.44;THD;37612.96;THD;254474.88;THD;39.512;30.7736;14.0184;1.628
0.009150;20898.33654;MLN;5520.813408;MLN;72411.79546;MLN;43454.75904;MLN;39536.86141;MLN;N/A;MLN;13.74824;14.344;12.32;1.05952
0.001850;282.7028072;MLN;17.1344888;MLN;N/A;MLN;2015.389781;MLN;12986.48478;MLN;4873.72505;MLN;94.8244;11.792;N/A;1.29712
0.000550;5788.979513;MLN;1881.975278;MLN;154201.8952;MLN;41870.17869;MLN;95634.39316;MLN;105565.1368;MLN;162.316;15.752;13.464;0.87384
0.002550;380.4307848;MLN;117.0835248;MLN;7330.472882;MLN;2742.771557;MLN;6156.325578;MLN;7954.257529;MLN;17.88248;14.608;N/A;1.53648
0.002550;887.6785984;MLN;411.8717768;MLN;35675.35338;MLN;2962.821286;MLN;41291.18563;MLN;34852.38302;MLN;100.32528;10.3224;7.7528;0.55
0.023850;473.88;MLN;184.712;MLN;4575.736;MLN;27.544;MLN;7200.864;MLN;6133.248;MLN;111.8128;14.9864;14.9864;1.4168
0.000383;15288.17606;MLN;12536.45235;MLN;318995.4715;MLN;210191.7375;MLN;326321.7425;MLN;278439.3285;MLN;166.4476;12.32;10.736;0.8756
0.002050;482.87426;MLN;346.4431168;MLN;11185.82055;MLN;6618.443225;MLN;14388.21582;MLN;5354.443204;MLN;43.9868;14.1416;13.8336;0.56584
0.002050;17885.24892;MLN;10233.72557;MLN;378363.6649;MLN;246813.4442;MLN;224530.8662;MLN;287522.8252;MLN;54.22208;15.136;12.496;0.18128
0.004850;907.0835048;MLN;556.3454952;MLN;17778.48921;MLN;3627.447762;MLN;22103.0527;MLN;12468.25054;MLN;328.87008;17.072;16.808;1.35168
0.000450;1680992.72;THD;1693916.4;THD;43200183.84;THD;9659305.92;THD;52779207.36;THD;59610167.76;THD;814.20416;10.912;9.2488;0.6424
0.023850;659171.7598;THD;180530.5198;THD;2594893.986;THD;2133222.192;THD;3278695.872;THD;4551960.659;THD;30.70936;12.8744;8.6152;3.15568
0.002550;894.5780624;MLN;252.4197896;MLN;23791.2605;MLN;259.6725384;MLN;22125.83624;MLN;25350.09354;MLN;74.64688;12.408;N/A;1.6016
0.023850;214.544;MLN;117.04;MLN;4683.36;MLN;520.96;MLN;5714.72;MLN;5109.28;MLN;656.0576;15.928;12.804;2.288
0.023850;82.837436;MLN;27.4687952;MLN;467.4549088;MLN;105.8677576;MLN;532.126716;MLN;861.8198864;MLN;68.81336;12.32;8.36;2.72712
0.020083;734.7349768;MLN;271.7954712;MLN;5612.890087;MLN;571.0511048;MLN;4059.88909;MLN;6822.815982;MLN;2.68752;11.4928;9.5568;0.35816
0.000550;337.216;MLN;318.208;MLN;10306.648;MLN;2071.696;MLN;6730.592;MLN;27280;MLN;30.17432;21.824;21.824;0.3168
0.001883;24878.568;MLN;30586.864;MLN;415376.28;MLN;808040.288;MLN;543208.6;MLN;380725.312;MLN;236.016;14.256;12.936;-0.352
0.023850;349.3623672;MLN;107.9368664;MLN;3167.772819;MLN;506.820688;MLN;3274.958342;MLN;N/A;MLN;10.5204;11.5368;9.6712;1.44232
0.000517;2013.416874;MLN;680.5140232;MLN;41068.3111;MLN;7775.314923;MLN;34965.7211;MLN;43034.75598;MLN;17.18288;14.784;12.936;1.15016
0.000450;3992.56;MLN;2332.88;MLN;136935.92;MLN;52270.24;MLN;92360.4;MLN;60143.072;MLN;104.5616;20.944;18.744;0.572
0.062050;3119.90199;MLN;666.7038312;MLN;21340.44884;MLN;0;MLN;29784.9975;MLN;N/A;MLN;N/A;8.5008;6.82;-0.9108
0.000383;90.2;MLN;767.096;MLN;3520.528;MLN;2615.536;MLN;21110.672;MLN;N/A;MLN;151.448;14.168;18.216;0.176
0.000450;12602.727;MLN;12284.529;MLN;340509.6692;MLN;463670.5491;MLN;434040.3173;MLN;299134.8017;MLN;114.45544;13.64;10.384;0.22792
0.000717;2665.17504;MLN;2219.83872;MLN;70128.14952;MLN;11610.19816;MLN;68267.0076;MLN;80629.83896;MLN;0;12.6104;10.3312;0.62392
0.012550;4287.131851;MLN;890.9620192;MLN;35587.10786;MLN;0;MLN;44151.31164;MLN;36322.25846;MLN;88.55352;9.3456;7.216;0.30008
0.002550;356.8862352;MLN;155.5928176;MLN;11715.16188;MLN;4987.305479;MLN;8790.419317;MLN;9655.760646;MLN;36.44432;17.072;N/A;0.34144
0.003583;19759.96;MLN;15210.1488;MLN;469618.9782;MLN;232988.0759;MLN;381424.8689;MLN;374226.4975;MLN;50.57712;12.5224;10.12;0.2112
0.001850;244.816;MLN;506;MLN;7321.688;MLN;2910.6;MLN;6963.968;MLN;N/A;MLN;116.6616;28.16;28.16;2.10584
0.001050;603.328;MLN;211.64;MLN;8581.936;MLN;3225.112;MLN;9082.04;MLN;N/A;MLN;189.64;15.1448;13.3144;2.0592
0.007717;39920.2958;MLN;12806.70618;MLN;105887.4254;MLN;88110.38755;MLN;62856.65047;MLN;177212.3707;MLN;27.66544;13.552;10.56;1.42736
0.029783;139.3712408;MLN;40.6670968;MLN;613.084208;MLN;373.06126;MLN;641.1711944;MLN;813.0582416;MLN;37.73088;17.864;17.512;2.84416
0.000483;1245.798462;MLN;562.7776264;MLN;30937.68055;MLN;13756.67699;MLN;40220.83623;MLN;48492.25;MLN;82.89776;17.688;17.16;2.02752
0.000450;3746.16;MLN;1702.8;MLN;144149.28;MLN;26991.36;MLN;77564.96;MLN;40565.36;MLN;68.64;26.664;23.672;0.616
